Score1,Score2,Correlation,Quartile
EO SCORE,IFR SCORE,-0.1614099849514751,Bottom 25% – Q4
SUS SCORE,IFR SCORE,-0.1375202956879168,Bottom 25% – Q4
Overall SCORE,IFR SCORE,,Bottom 25% – Q4
AR SCORE,ISR SCORE,-0.24851352345468578,Bottom 25% – Q4
ER SCORE,ISR SCORE,-0.16499176285614697,Bottom 25% – Q4
FSR SCORE,ISR SCORE,-0.0318366215079424,Bottom 25% – Q4
CPF SCORE,ISR SCORE,-0.02148512449087179,Bottom 25% – Q4
IFR SCORE,ISR SCORE,0.3016379381637053,Bottom 25% – Q4
ISR SCORE,ISR SCORE,1.0,Bottom 25% – Q4
ISD SCORE,ISR SCORE,0.975349081473082,Bottom 25% – Q4
IRN SCORE,ISR SCORE,-0.09107091816445277,Bottom 25% – Q4
EO SCORE,ISR SCORE,-0.13719412467622913,Bottom 25% – Q4
SUS SCORE,ISR SCORE,-0.14646906283052302,Bottom 25% – Q4
Overall SCORE,ISR SCORE,,Bottom 25% – Q4
AR SCORE,ISD SCORE,-0.2504197660545905,Bottom 25% – Q4
ER SCORE,ISD SCORE,-0.15685815166991635,Bottom 25% – Q4
FSR SCORE,ISD SCORE,-0.03469366357451554,Bottom 25% – Q4
CPF SCORE,ISD SCORE,-0.025074447780736767,Bottom 25% – Q4
IFR SCORE,ISD SCORE,0.3170627310372709,Bottom 25% – Q4
ISR SCORE,ISD SCORE,0.975349081473082,Bottom 25% – Q4
ISD SCORE,ISD SCORE,1.0,Bottom 25% – Q4
IRN SCORE,ISD SCORE,-0.07851738259027927,Bottom 25% – Q4
EO SCORE,ISD SCORE,-0.1435399874017047,Bottom 25% – Q4
SUS SCORE,ISD SCORE,-0.08795207525452936,Bottom 25% – Q4
Overall SCORE,ISD SCORE,,Bottom 25% – Q4
AR SCORE,IRN SCORE,-0.004948311235493032,Bottom 25% – Q4
ER SCORE,IRN SCORE,-0.2176247926841225,Bottom 25% – Q4
FSR SCORE,IRN SCORE,-0.2972453961963414,Bottom 25% – Q4
CPF SCORE,IRN SCORE,0.4097403771466141,Bottom 25% – Q4
IFR SCORE,IRN SCORE,-0.02993590288729341,Bottom 25% – Q4
ISR SCORE,IRN SCORE,-0.09107091816445277,Bottom 25% – Q4
ISD SCORE,IRN SCORE,-0.07851738259027927,Bottom 25% – Q4
IRN SCORE,IRN SCORE,1.0,Bottom 25% – Q4
EO SCORE,IRN SCORE,0.0779157437837447,Bottom 25% – Q4
SUS SCORE,IRN SCORE,0.5018070805866921,Bottom 25% – Q4
Overall SCORE,IRN SCORE,,Bottom 25% – Q4
AR SCORE,EO SCORE,0.014002383998462558,Bottom 25% – Q4
ER SCORE,EO SCORE,0.1524979830686187,Bottom 25% – Q4
FSR SCORE,EO SCORE,-0.08607682133269151,Bottom 25% – Q4
CPF SCORE,EO SCORE,-0.13926076290593195,Bottom 25% – Q4
IFR SCORE,EO SCORE,-0.1614099849514751,Bottom 25% – Q4
ISR SCORE,EO SCORE,-0.13719412467622913,Bottom 25% – Q4
ISD SCORE,EO SCORE,-0.1435399874017047,Bottom 25% – Q4
IRN SCORE,EO SCORE,0.0779157437837447,Bottom 25% – Q4
EO SCORE,EO SCORE,1.0,Bottom 25% – Q4
SUS SCORE,EO SCORE,0.01607564661774299,Bottom 25% – Q4
Overall SCORE,EO SCORE,,Bottom 25% – Q4
AR SCORE,SUS SCORE,0.16633906353607994,Bottom 25% – Q4
ER SCORE,SUS SCORE,-0.09099904641559467,Bottom 25% – Q4
FSR SCORE,SUS SCORE,-0.2407948056196053,Bottom 25% – Q4
CPF SCORE,SUS SCORE,0.28911821430195733,Bottom 25% – Q4
IFR SCORE,SUS SCORE,-0.1375202956879168,Bottom 25% – Q4
ISR SCORE,SUS SCORE,-0.14646906283052302,Bottom 25% – Q4
ISD SCORE,SUS SCORE,-0.08795207525452936,Bottom 25% – Q4
IRN SCORE,SUS SCORE,0.5018070805866921,Bottom 25% – Q4
EO SCORE,SUS SCORE,0.01607564661774299,Bottom 25% – Q4
SUS SCORE,SUS SCORE,1.0,Bottom 25% – Q4
Overall SCORE,SUS SCORE,,Bottom 25% – Q4
AR SCORE,Overall SCORE,,Bottom 25% – Q4
ER SCORE,Overall SCORE,,Bottom 25% – Q4
FSR SCORE,Overall SCORE,,Bottom 25% – Q4
CPF SCORE,Overall SCORE,,Bottom 25% – Q4
IFR SCORE,Overall SCORE,,Bottom 25% – Q4
ISR SCORE,Overall SCORE,,Bottom 25% – Q4
ISD SCORE,Overall SCORE,,Bottom 25% – Q4
IRN SCORE,Overall SCORE,,Bottom 25% – Q4
EO SCORE,Overall SCORE,,Bottom 25% – Q4
SUS SCORE,Overall SCORE,,Bottom 25% – Q4
Overall SCORE,Overall SCORE,,Bottom 25% – Q4
